DATAFLOW,REGION,SEX_ABS,AGE,FERTILITY,MORTALITY,NOM,NIM,FREQUENCY,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_STATUS,OBS_COMMENT
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2017,6321648,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2018,6471149,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2019,6627735,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2020,6786318,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2021,6946030,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2022,7106675,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2023,7267466,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2024,7428286,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2025,7588660,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2026,7748714,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2027,7908342,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2028,8069054,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2029,8230290,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2030,8391885,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2031,8553689,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2032,8715604,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2033,8877544,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2034,9039472,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2035,9201379,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2036,9363303,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2037,9525408,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2038,9687745,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2039,9850350,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2040,10013264,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2041,10176547,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2042,10340228,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2043,10504366,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2044,10669000,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2045,10834179,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2046,10999948,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2047,11166374,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2048,11333540,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2049,11501522,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2050,11670412,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2051,11840316,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2052,12011328,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2053,12183519,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2054,12356961,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2055,12531694,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2056,12707708,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2057,12885005,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2058,13063537,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2059,13243239,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2060,13424035,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2061,13605819,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2062,13788450,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2063,13971797,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2064,14155732,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2065,14340112,PSNS,,
ABS:POP_PROJ_REGION_2012_2061(1.0.0),2,3,TT,1,1,1,1,A,2066,14524837,PSNS,,
